N,m,seed,connected,W,L_exact,L_cert,L_psd,dmin_est,s_star,frac_weyl,frac_floor,frac_floor_poly,weyl0_frac_pos,psd_frac_pos,solves_hybrid,weylA_oracle_calls,solves_uniform,uniform_solves,target_certified_frac,positive_certified_frac,uncertified_frac,num_windows,total_window_width,uniform_target_frac,uniform_positive_frac,uniform_uncert_frac,matvecs,validated,wall,t_weylA,wall_validation,N_heuristic
10,28,0,True,29.363145641285687,24.44248882696705,40.36314564128568,29.363145641285687,0.3982611385380306,0.4174116949186277,0.04477611940298507,0.31840796019900497,0.11940298507462686,0.04477611940298507,0.31840796019900497,116,116,324,324,0.01058609599196414,1.0,0.0,0,0.0,1.0,1.0,0.0,48089,True,14.256489038467407,14.256489038467407,114.85401153564453,115.92153463159592
10,23,1,True,23.366294000846572,18.594307218788884,34.36629400084657,23.366294000846572,0.028316289797643,0.9404851290842414,0.03482587064676617,0.15920398009950248,0.14925373134328357,0.03482587064676617,0.15920398009950248,609,609,276,276,0.0,1.0,0.0,0,0.0,0.527363184079602,0.845771144278607,0.15422885572139303,91635,False,27.898545026779175,27.898545026779175,0.0,0.0
10,27,2,True,27.233825918739853,22.348565539664513,38.23382591873985,27.233825918739853,0.2476680095287218,0.6563210044322431,0.03482587064676617,0.19402985074626866,0.12935323383084577,0.03482587064676617,0.19402985074626866,206,206,307,307,0.0,1.0,0.0,0,0.0,0.6318407960199005,1.0,0.0,58585,False,16.631368398666382,16.631368398666382,0.0,0.0
10,29,3,True,30.440217802105348,25.54627043246678,41.44021780210535,30.440217802105348,0.018294423196218546,0.9997432486712919,0.029850746268656716,0.12437810945273632,0.11940298507462686,0.029850746268656716,0.12437810945273632,447,447,333,333,0.0,1.0,0.0,0,0.0,0.6069651741293532,0.9402985074626866,0.05970149253731343,73206,False,23.45646858215332,23.45646858215332,0.0,0.0
10,25,4,True,26.913781006623413,22.063956144737723,37.91378100662341,26.913781006623413,0.3632454251181567,0.41946137185431603,0.05472636815920398,0.36318407960199006,0.12935323383084577,0.05472636815920398,0.36318407960199006,104,104,305,305,0.016628621575619618,1.0,0.0,0,0.0,1.0,1.0,0.0,49924,False,13.981410264968872,13.981410264968872,0.0,0.0
10,27,5,True,28.45469069603144,23.58513753944532,39.45469069603144,28.45469069603144,0.22661513890182583,0.603818974276854,0.03980099502487562,0.208955223880597,0.12437810945273632,0.03980099502487562,0.208955223880597,215,215,317,317,0.0011503524810965171,1.0,0.0,0,0.0,0.681592039800995,1.0,0.0,58652,False,19.29573154449463,19.29573154449463,0.0,0.0
10,25,6,True,25.20315358785803,20.426019904770488,36.203153587858026,25.20315358785803,0.12167899612561683,0.983484500903064,0.03482587064676617,0.16417910447761194,0.13930348258706468,0.03482587064676617,0.16417910447761194,234,234,291,291,0.0,1.0,0.0,0,0.0,0.681592039800995,1.0,0.0,42724,False,12.386401653289795,12.386401653289795,0.0,0.0
10,24,7,True,24.061469102682494,19.37679189345775,35.061469102682494,24.061469102682494,0.2872361337122067,0.51491764419496,0.03980099502487562,0.21393034825870647,0.14427860696517414,0.03980099502487562,0.21393034825870647,166,166,282,282,0.0,1.0,0.0,0,0.0,0.8855721393034826,1.0,0.0,49782,False,16.14569067955017,16.14569067955017,0.0,0.0
10,31,8,True,27.716340595479302,22.82718460202856,38.7163405954793,27.716340595479302,0.18691195980865682,0.508079230554845,0.04477611940298507,0.26865671641791045,0.12935323383084577,0.04477611940298507,0.26865671641791045,169,169,311,311,0.000796902250361331,1.0,0.0,0,0.0,0.835820895522388,1.0,0.0,55426,False,16.56849455833435,16.56849455833435,0.0,0.0
10,22,9,True,22.22858655587827,17.44920977402588,33.228586555878266,22.22858655587827,0.10362469082588355,0.8690834956988229,0.03980099502487562,0.1791044776119403,0.15422885572139303,0.03980099502487562,0.1791044776119403,302,302,267,267,0.0,1.0,0.0,0,0.0,0.5223880597014925,0.9751243781094527,0.024875621890547265,61365,False,17.190787076950073,17.190787076950073,0.0,0.0
10,30,10,True,31.683504919652414,26.680521321803255,42.683504919652414,31.683504919652414,0.459846416603944,0.3823325434560415,0.04975124378109453,0.36318407960199006,0.11442786069651742,0.04975124378109453,0.36318407960199006,103,103,343,343,0.01578666767566972,1.0,0.0,0,0.0,1.0,1.0,0.0,50240,False,15.097113847732544,15.097113847732544,0.0,0.0
10,32,11,True,29.796437679166523,24.85534481746583,40.79643767916652,29.796437679166523,0.21067037800579147,0.5328212002459995,0.029850746268656716,0.1890547263681592,0.11940298507462686,0.029850746268656716,0.1890547263681592,227,227,328,328,0.0015759391293190816,1.0,0.0,0,0.0,0.6716417910447762,1.0,0.0,62691,False,17.896475553512573,17.896475553512573,0.0,0.0
10,24,12,True,24.967620634026847,20.16020846485221,35.967620634026844,24.967620634026847,0.0823532392754478,0.9828018026250663,0.03482587064676617,0.15422885572139303,0.13930348258706468,0.03482587064676617,0.15422885572139303,437,437,289,289,0.0,1.0,0.0,0,0.0,0.4577114427860697,0.9104477611940298,0.08955223880597014,100307,False,33.778289794921875,33.778289794921875,0.0,0.0
10,23,13,True,22.40630069731798,17.675769763870193,33.40630069731798,22.40630069731798,0.17140959293978142,0.5666057025294292,0.03980099502487562,0.2537313432835821,0.15422885572139303,0.03980099502487562,0.2537313432835821,175,175,269,269,0.004225860341674381,1.0,0.0,0,0.0,0.746268656716418,1.0,0.0,54881,False,16.752285718917847,16.752285718917847,0.0,0.0
10,22,14,True,22.06359357562246,17.286662743634807,33.06359357562246,22.06359357562246,0.120096885988354,0.563313207778834,0.04477611940298507,0.25870646766169153,0.15422885572139303,0.04477611940298507,0.25870646766169153,193,193,266,266,0.0,1.0,0.0,0,0.0,0.7313432835820896,1.0,0.0,50788,False,16.58185648918152,16.58185648918152,0.0,0.0
10,32,15,True,32.43150701990303,27.440074434808935,43.43150701990303,32.43150701990303,0.3414045461424049,0.45711183796356036,0.03980099502487562,0.263681592039801,0.10945273631840796,0.03980099502487562,0.263681592039801,141,141,349,349,0.004483992469867415,1.0,0.0,0,0.0,0.9850746268656716,1.0,0.0,55110,False,16.314919471740723,16.314919471740723,0.0,0.0
10,25,16,True,24.697299199600003,20.00493086067837,35.6972991996,24.697299199600003,0.000484437258547743,0.9999966286728871,0.03482587064676617,0.14427860696517414,0.13930348258706468,0.03482587064676617,0.14427860696517414,673,673,287,287,0.0,1.0,0.0,0,0.0,0.5870646766169154,0.9402985074626866,0.05970149253731343,84062,False,22.82887554168701,22.82887554168701,0.0,0.0
10,30,17,True,30.320607092038184,25.4947671558934,41.32060709203819,30.320607092038184,0.4629299934185882,0.38184441595607616,0.03980099502487562,0.2537313432835821,0.11940298507462686,0.03980099502487562,0.2537313432835821,126,126,332,332,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,41100,False,12.840728759765625,12.840728759765625,0.0,0.0
10,22,18,True,21.544870975230825,16.797349668062697,32.54487097523082,21.544870975230825,0.35544647807068985,0.42676296093027655,0.05970149253731343,0.36318407960199006,0.15920398009950248,0.05970149253731343,0.36318407960199006,88,88,262,262,0.012003538802671243,1.0,0.0,0,0.0,0.9950248756218906,1.0,0.0,36504,False,9.400850534439087,9.400850534439087,0.0,0.0
